Animal,465nm_dFF_norm,Trial,time_trial,dB,Block
229,1.350979361776793,1,8.821643286573147,55,1
229,2.076332354810365,1,8.92184368737475,55,1
229,1.1913099480683131,1,9.022044088176353,55,1
229,0.865765285193087,1,9.122244488977955,55,1
229,0.3809431038500716,1,9.22244488977956,55,1
229,-0.0601842131580735,1,9.322645290581162,55,1
229,-0.6272649355341958,1,9.422845691382769,55,1
229,-1.252889248329618,1,9.52304609218437,55,1
229,-1.3883574256318247,1,9.623246492985972,55,1
229,-1.5870317552832738,1,9.723446893787576,55,1
229,-3.169396917828569,1,9.82364729458918,55,1
229,-3.790644556367032,1,9.923847695390782,55,1
229,-4.13873493953993,1,10.024048096192384,55,1
229,-4.604113205612869,1,10.124248496993989,55,1
