,Animal,time_trial,Phase,Trial,465nm_dFF_norm
42,145,-15.797373358348967,baseline,1,-0.5934692888828892
43,145,-15.69731081926204,baseline,1,0.2694227385042002
44,145,-15.597248280175108,baseline,1,0.5887730192614913
45,145,-15.497185741088181,baseline,1,-0.6325411051585375
46,145,-15.39712320200125,baseline,1,-0.8619049113322005
47,145,-15.297060662914323,baseline,1,1.291726314361407
48,145,-15.196998123827392,baseline,1,-0.3616316450912994
49,145,-15.096935584740462,baseline,1,-1.0787863483547546
50,145,-14.996873045653533,baseline,1,0.0919379322459122
51,145,-14.896810506566604,baseline,1,-0.3359635396755432
52,145,-14.796747967479675,baseline,1,-0.5063834093583979
53,145,-14.696685428392746,baseline,1,-0.5086477736041708
54,145,-14.596622889305817,baseline,1,0.31154509725642865
55,145,-14.496560350218886,baseline,1,-0.21268024270991698
56,145,-14.396497811131958,baseline,1,0.23655868672970795
57,145,-14.296435272045027,baseline,1,-0.2642147159138517
58,145,-14.1963727329581,baseline,1,-0.8601793657816329
59,145,-14.096310193871169,baseline,1,-1.2483292726901478
60,145,-13.996247654784241,baseline,1,-0.5267627126858846
61,145,-13.89618511569731,baseline,1,0.5814632168387919
62,145,-13.796122576610381,baseline,1,-0.07729342478882784
63,145,-13.696060037523452,baseline,1,-0.8802317494442727
64,145,-13.595997498436523,baseline,1,-0.7952923884208414
65,145,-13.495934959349594,baseline,1,0.01584299076715832
66,145,-13.395872420262664,baseline,1,-0.5266044751184294
67,145,-13.295809881175735,baseline,1,-0.22147711578118445
68,145,-13.195747342088804,baseline,1,0.9374812291809247
69,145,-13.095684803001877,baseline,1,-0.788141480759805
70,145,-12.995622263914946,baseline,1,0.15030247658469173
71,145,-12.895559724828018,baseline,1,0.09673363799146094
72,145,-12.795497185741088,baseline,1,1.2716877592584346
73,145,-12.69543464665416,baseline,1,0.1918391058689937
74,145,-12.59537210756723,baseline,1,0.2561505938310442
75,145,-12.4953095684803,baseline,1,-0.6662512618271396
76,145,-12.39524702939337,baseline,1,0.24898545115026896
77,145,-12.295184490306442,baseline,1,0.24130860925631697
78,145,-12.195121951219512,baseline,1,-0.18743172537838187
79,145,-12.095059412132583,baseline,1,-0.2549625628075549
80,145,-11.994996873045654,baseline,1,0.536248805399985
81,145,-11.894934333958725,baseline,1,-1.233125939428206
82,145,-11.794871794871796,baseline,1,-0.5500991392628811
83,145,-11.694809255784866,baseline,1,-1.0626960269578507
84,145,-11.594746716697935,baseline,1,-0.6403936175456282
85,145,-11.494684177611006,baseline,1,1.395669069001679
86,145,-11.394621638524077,baseline,1,0.29773834942891325
87,145,-11.294559099437148,baseline,1,-0.6878617908576863
88,145,-11.194496560350219,baseline,1,-0.220338458570564
89,145,-11.09443402126329,baseline,1,-1.6872849878273215
90,145,-10.99437148217636,baseline,1,-0.32066322118749463
91,145,-10.894308943089431,baseline,1,-0.8060937752378833
92,145,-10.794246404002502,baseline,1,0.7606297058805865
93,145,-10.694183864915573,baseline,1,-0.9518253234351036
94,145,-10.594121325828644,baseline,1,0.687707069495269
95,145,-10.494058786741714,baseline,1,0.06237757289675762
96,145,-10.393996247654783,baseline,1,0.338220173056715
97,145,-10.293933708567854,baseline,1,0.6901293572449503
98,145,-10.193871169480925,baseline,1,-0.6916832197552581
99,145,-10.093808630393996,baseline,1,-0.558397690319002
100,145,-9.993746091307067,baseline,1,-0.19568808769106874
101,145,-9.893683552220137,baseline,1,-0.25801338044887756
102,145,-9.793621013133208,baseline,1,0.20105299062892748
103,145,-9.693558474046279,baseline,1,-0.9609496910254329
104,145,-9.59349593495935,baseline,1,-2.264125473915887
105,145,-9.49343339587242,baseline,1,-1.3836650694751687
106,145,-9.393370856785491,baseline,1,-0.7595997683062803
107,145,-9.293308317698562,baseline,1,-1.7012176134758317
108,145,-9.193245778611633,baseline,1,-0.5852718298419726
109,145,-9.093183239524702,baseline,1,-2.277336081617384
110,145,-8.993120700437773,baseline,1,-0.3541753425205074
111,145,-8.893058161350844,baseline,1,-0.355114084528033
